	xKooFuss_d	yKooFuss_d	Formcode	Ra_Di_cm	Breit_cm	Objekt	Kopf_LV95_	Kopf_LV951	Fuss_LV95_	Fuss_LV951	AnzJR_Best	Mark_Best	WK_Best	Splint_Bes	Art_Best	DcEign	DmRek	mindDM	LabNr	Dat	Gte	DG	x	y
15868.00000000000	509.58	134.48	1.00	8.00	10.50	P			2683706.00	1246669.90	21.00			0.00	5	4	0.00	16					2683706.00	1246669.90
6715.00000000000	487.43	161.73	1.00	8.00	4.50	P			2683673.96	1246684.29	31.00		3	1.00	1	3	21.00						2683673.96	1246684.29
8475.00000000000	482.79	177.23	1.00	13.00	6.00	P			2683662.86	1246696.06	0.00		4	1.00	1	1	26.00		655841	-3175	a	10	2683662.86	1246696.06
18864.00000000000	508.51	107.47	1.00	10.00	9.00	P			2683717.17	1246645.29	37.00		1	1.00	1	3	20.00		658138	-2752	b	100	2683717.17	1246645.29
25533.00000000000	482.45	154.68	1.00	16.50	12.00	P			2683672.68	1246675.77	0.00		4	1.00	1	1	31.00		657213	-3175	a	60	2683672.69	1246675.77
27798.00000000000	454.91	172.28	1.00	8.50	9.00	P			2683640.17	1246679.11	32.00	m	3	1.00	1	3	15.00						2683640.17	1246679.11
9766.00000000000	498.22	135.10	1.00	10.00	9.50	P			2683695.57	1246665.35	34.00			1.00	1	3	27.00		656962	-3244	b	21	2683695.57	1246665.35
25389.00000000000	488.01	124.31	1.00	8.00	4.00	P			2683691.29	1246651.12	21.00		1?	1.00	1	4	16.00						2683691.29	1246651.12
27809.00000000000	454.90	171.55	1.00	11.00	4.00	P			2683640.49	1246678.46	68.00		4	1.00	1	1	0.00	28	657815	-2883	b		2683640.49	1246678.46
9317.00000000000	490.74	163.18	1.00	10.00	11.50	P			2683676.27	1246687.08	0.00			1.00	1	1	21.00		657381	-2893	a	4	2683676.27	1246687.08
22957.00000000000	486.34	157.69	1.00	8.00	9.00	P			2683674.81	1246680.19	38.00		3	1.00	1	3	20.00		656671	0	u		2683674.81	1246680.19
20120.00000000000	508.31	139.40	1.00	9.00	13.00	P			2683702.65	1246673.72	47.00		3	0.00	7	3	0.00	19	658075	-3233	b	70	2683702.65	1246673.72
1349.00000000000	491.09	137.69	1.00	16.00	13.00	P			2683688.04	1246664.46	0.00			1.00	1	1	33.00		655074	-2774	a	51	2683688.04	1246664.46
23882.00000000000	509.04	122.47	1.00	10.50	7.00	P			2683710.91	1246658.93	47.00		3	1.00	1	3	23.00		657205	-3233	b	9	2683710.91	1246658.93
10874.00000000000	483.55	172.81	1.00	12.00	7.00	P			2683665.52	1246692.45	0.00		5	1.00	1	1	25.00		655934	-2732	a	52	2683665.52	1246692.45
27397.00000000000	486.73	135.70	1.00	8.00	6.00	P			2683685.04	1246660.72	24.00		3	1.00	1	4	17.00						2683685.04	1246660.72
20518.00000000000	510.27	139.89	1.00	9.00	5.00	P			2683704.19	1246675.04	24.00		3	1.00	1	4	16.00						2683704.19	1246675.04
13083.00000000000	494.57	172.84	1.00	9.50	9.00	P			2683675.35	1246697.43	30.00			1.00	1	3	20.00		655948	0	u		2683675.35	1246697.43
5666.00000000000	495.80	150.09	1.00	11.00	4.00	P	2683686.6741	1246677.6564	2683686.67	1246677.66	0.00			0.00	1	2	0.00	26	657699	0	u		2683686.67	1246677.66
13755.00000000000	506.02	142.88	1.00	7.50	7.00	P			2683699.04	1246675.81	17.00	m	3	1.00	1	4	11.00						2683699.04	1246675.81
22785.00000000000	513.68	128.29	1.00	13.00	10.00	P			2683712.45	1246666.21	44.00		5	1.00	1	3	28.00		658295	-3160	b	35	2683712.44	1246666.21
4632.00000000000	475.51	168.08	1.00	12.00	9.00	P			2683660.47	1246684.62	28.00	m	4	1.00	1	4	20.00						2683660.47	1246684.62
4240.00000000000	494.70	124.30	1.00	7.00	3.00	P	2683696.6035	1246654.3422	2683697.27	1246654.12	26.00		5	0.00	7	4	0.00	16					2683697.27	1246654.12
12806.00000000000	499.14	168.81	1.00	14.50	11.50	P			2683681.26	1246695.88	42.00		5	1.00	1	3	28.00		655854	0	u	13	2683681.25	1246695.88
22742.00000000000	475.12	158.75	1.00	13.00	11.50	P			2683664.30	1246676.10	0.00		4	1.00	1	1	27.00		657223	-2886	a	4	2683664.30	1246676.10
9768.00000000000	498.46	134.79	1.00	10.00	7.00	P			2683695.92	1246665.18	45.00			1.00	1	3	18.00		656963	-2781	b	51	2683695.92	1246665.18
24570.00000000000	490.62	136.13	1.00	10.00	8.00	P			2683688.31	1246662.86	28.00		4	1.00	1	3	0.00		656872	0	u		2683688.31	1246662.86
20492.00000000000	502.01	125.56	1.00	13.00	12.00	P			2683703.24	1246658.53	0.00	mn	3	1.00	1	1	24.00		656312	-3155	b		2683703.24	1246658.53
13091.00000000000	492.54	172.67	1.00	9.50	11.00	P			2683673.62	1246696.37	20.00		4	1.00	1	4	19.00		658240	0	u	1002	2683673.62	1246696.37
14710.00000000000	481.83	169.85	1.00	11.00	8.50	P			2683665.32	1246689.04	30.00		5	1.00	1	3	20.00		655946	-3175	b	45	2683665.32	1246689.04
11452.00000000000	492.32	169.44	1.00	13.50	7.00	P			2683674.87	1246693.38	43.00			1.00	1	3	0.00	28	655882	-3201	b	12	2683674.87	1246693.38
5170.00000000000	494.09	129.12	1.00	16.00	10.50	P			2683694.56	1246658.15	0.00			1.00	1	1	32.00		656780	-3188	a	10	2683694.56	1246658.15
